Vehicle_ID,Frame_ID,Local_X,Local_Y,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Scenario,Lane_Change_Frame,Source_La,Target_La,Changing_Time_Offs,SL_Leading_ID,SL_Leading_Local_X,SL_Leading_Local_Y,SL_Leading_Speed_X,SL_Leading_Speed_Y,SL_Following_ID,SL_Following_Local_X,SL_Following_Local_Y,SL_Following_Speed_X,SL_Following_Speed_Y,TL_Leading_ID,TL_Leading_Local_X,TL_Leading_Local_Y,TL_Leading_Speed_X,TL_Leading_Speed_Y,TL_Following_ID,TL_Following_Local_X,TL_Following_Local_Y,TL_Following_Speed_X,TL_Following_Speed_Y,PET,TTC,MTTC,FL_TTC,Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame
27,88,3710.6,19.718,4.4286,-1.5,5.2,2.1,-19.652,1,2,73,2,1,1.5,,,,,,33.0,3577.2,24.488999999999997,3.6429,-1.0,43.0,3843.6,13.904,3.1429,-1.5714,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,89,3715.0,19.568,4.5,-1.6071,5.2,2.1,-18.778,1,2,73,2,1,1.6,,,,,,33.0,3580.9,24.389,3.6786,-1.0,43.0,3846.7,13.746,3.0,-1.5,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,90,3719.5,19.407,4.4286,-1.5714,5.2,2.1,-19.799,1,2,73,2,1,1.7,,,,,,33.0,3584.6,24.288999999999998,3.6786,-1.1429,43.0,3849.7,13.596,2.8571,-1.3929,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,91,3724.0,19.25,4.4286,-1.5714,5.2,2.1,-19.134,1,2,73,2,1,1.8,,,,,,33.0,3588.2,24.175,3.8214,-1.1429,43.0,3852.6,13.456999999999999,2.7143,-1.25,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,92,3728.4,19.093,4.3571,-1.5714,5.2,2.1,-19.799,1,2,73,2,1,1.9,,,,,,33.0,3592.1,24.061,3.75,-1.1429,43.0,3855.3,13.331999999999999,2.5714,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,93,3732.7,18.936,4.3571,-1.5714,5.2,2.1,-19.652,1,2,73,2,1,2.0,,,,,,33.0,3595.8,23.946,3.75,-1.1071,43.0,3857.9,13.211000000000002,2.4643,-1.1429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,94,3737.1,18.779,4.2857,-1.6071,5.2,2.1,-20.363,1,2,73,2,1,2.1,,,,,,33.0,3599.6,23.836000000000002,3.9643,-1.25,43.0,3860.4,13.096,2.5,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,95,3741.4,18.618000000000002,4.25,-1.5714,5.2,2.1,-19.652,1,2,73,2,1,2.2,,,,,,33.0,3603.5,23.711000000000002,3.9286,-1.25,43.0,3862.9,12.975,2.4286,-1.2143,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,96,3745.6,18.461000000000002,4.1786,-1.6071,5.2,2.1,-19.134,1,2,73,2,1,2.3,,,,,,33.0,3607.5,23.586000000000002,4.25,-1.4643,43.0,3865.3,12.854,2.3571,-1.1429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,97,3749.8,18.3,4.0714,-1.5714,5.2,2.1,-20.171,1,2,73,2,1,2.4,,,,,,33.0,3611.7,23.439,4.1786,-1.3214,43.0,3867.6,12.739,2.3571,-1.1786,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,98,3753.9,18.143,3.8929,-1.4643,5.2,2.1,-20.682,1,2,73,2,1,2.5,,,,,,33.0,3615.9,23.307,4.4643,-1.5,43.0,3870.0,12.620999999999999,2.2857,-1.1429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,99,3757.8,17.996000000000002,3.7143,-1.4286,5.2,2.1,-20.363,1,2,73,2,1,2.6,,,,,,33.0,3620.4,23.157,4.4286,-1.3929,43.0,3872.3,12.507,2.2857,-1.1071,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,100,3761.5,17.854,3.5714,-1.4286,5.2,2.1,-19.985,1,2,73,2,1,2.7,,,,,,33.0,3624.8,23.018,4.6429,-1.6071,43.0,3874.6,12.395999999999999,2.2143,-1.1429,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,101,3765.1,17.711000000000002,3.3571,-1.3214,5.2,2.1,-19.985,1,2,73,2,1,2.8,,,,,,33.0,3629.4,22.857,4.5,-1.5,43.0,3876.8,12.282,2.2143,-1.1071,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,102,3768.4,17.579,3.25,-1.2857,5.2,2.1,-20.363,1,2,73,2,1,2.9,,,,,,33.0,3633.9,22.707,4.7857,-1.6429,43.0,3879.0,12.171,2.1786,-1.0714,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,103,3771.7,17.45,3.0357,-1.2857,5.2,2.1,-21.595,1,2,73,2,1,3.0,,,,,,33.0,3638.7,22.543,4.7143,-1.6071,43.0,3881.2,12.064,2.1071,-1.0714,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,104,3774.7,17.321,3.1071,-1.25,5.2,2.1,-22.62,1,2,73,2,1,3.1,,,,,,33.0,3643.4,22.381999999999998,4.7857,-1.6429,43.0,3883.3,11.956999999999999,1.9286,-1.0,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
