Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Event_Index,Vehicle_ID_Event,Start_Frame,End_Frame,Lane_Change_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame,Time_Offset
1132,8683,1107,377,1107,357,1056,356,1056,376,1081.8,366.5,1,1,22.821,0.035714,5.0,1.9,1.1233,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.7
1132,8684,1130,376,1130,357,1079,356,1079,376,1104.6,366.54,1,1,23.036,0.10714,5.0,1.9,0.56165,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.8
1132,8685,1151,377,1152,357,1102,357,1102,376,1127.7,366.64,1,1,23.143,0.10714,5.0,1.9,0.58457,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,2.9
1132,8686,1175,377,1175,357,1126,356,1126,376,1150.8,366.75,1,1,23.25,0.14286,5.0,1.9,1.1691,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.0
1132,8687,1197,376,1198,358,1150,357,1150,376,1174.1,366.89,1,1,23.25,0.17857,5.0,1.9,0.59674,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.1
1132,8688,1222,378,1223,358,1173,357,1173,376,1197.3,367.07,1,1,23.5,0.17857,5.0,1.9,1.7415,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.2
1132,8689,1246,378,1247,358,1196,357,1195,376,1220.8,367.25,1,1,23.5,0.32143,5.0,1.9,1.6845,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.3
1132,8690,1269,378,1270,358,1219,357,1219,377,1244.3,367.57,1,1,23.464,0.32143,5.0,1.9,1.1345,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.4
1132,8691,1292,378,1292,358,1243,357,1242,377,1267.8,367.89,1,1,23.107,0.21429,5.0,1.9,1.1575,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.5
1132,8692,1316,378,1317,359,1266,358,1266,377,1290.9,368.11,1,1,23.143,0.25,5.0,1.9,1.1345,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.6
1132,8693,1340,379,1340,359,1290,359,1290,378,1314.0,368.36,1,1,23.571,0.28571,5.0,1.9,0.57288,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.7
1132,8694,1362,379,1363,360,1314,359,1313,378,1337.6,368.64,1,1,23.786,0.32143,5.0,1.9,1.1691,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.8
1132,8695,1382,378,1382,360,1337,359,1337,378,1361.4,368.96,1,1,23.75,0.32143,5.0,1.9,0.63652,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,3.9
1132,8696,1406,379,1406,360,1360,359,1360,378,1385.1,369.29,1,1,23.786,0.32143,5.0,1.9,1.2454,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.0
1132,8697,1433,380,1434,360,1385,359,1385,379,1408.9,369.61,1,1,23.857,0.28571,5.0,1.9,1.1813,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.1
1132,8698,1458,380,1458,361,1410,359,1409,379,1432.8,369.89,1,1,24.25,0.32143,5.0,1.9,1.7775,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.2
1132,8699,1482,380,1482,361,1433,360,1433,380,1457.0,370.21,1,1,24.393,0.42857,5.0,1.9,0.58457,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.3
1132,8700,1505,381,1506,362,1458,361,1457,380,1481.4,370.64,1,1,23.893,0.35714,5.0,1.9,1.1935,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.4
1132,8701,1529,381,1529,362,1481,361,1481,380,1505.3,371.0,1,1,23.607,0.46429,5.0,1.9,1.1935,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.5
1132,8702,1553,381,1553,362,1506,361,1505,380,1528.9,371.46,1,1,24.071,0.32143,5.0,1.9,1.2062,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.6
1132,8703,1577,382,1578,363,1530,362,1530,381,1553.0,371.79,1,1,24.286,0.35714,5.0,1.9,1.2062,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.7
1132,8704,1599,382,1599,363,1554,362,1554,381,1577.3,372.14,1,1,24.393,0.35714,5.0,1.9,1.273,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.8
1132,8705,1620,382,1620,364,1578,364,1578,382,1601.7,372.5,1,1,24.25,0.35714,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,4.9
1132,8706,1650,383,1650,363,1602,362,1602,382,1625.9,372.86,1,1,23.821,0.25,5.0,1.9,1.1935,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,5.0
1149,8812,50,341,51,318,-2,317,-2,340,23.0,328.92,1,1,23.75,0.0,5.2,2.3,1.0913,3,1,1149,8823,8890,8845,3,2,3->2,8795,8895,-3.3
1149,8813,74,341,75,318,17,316,17,340,46.75,328.92,1,1,23.75,0.28333,5.2,2.3,1.49,3,1,1149,8823,8890,8845,3,2,3->2,8795,8895,-3.2
1149,8814,99,341,99,318,42,317,41,340,70.5,329.2,1,1,23.75,0.44286,5.2,2.3,0.99642,3,1,1149,8823,8890,8845,3,2,3->2,8795,8895,-3.1
